loss	model	dataset	filtering	type	set
0.547038328	pred_bal_1_lr1	PCOS	10	test	imputation
0.537746806	pred_bal_1	PCOS	10	test	imputation
0.547038328	pred_bal_1	PCOS	10	test	imputation
0.555168409	pred_bal_1	PCOS	10	test	imputation
0.555168409	pred_bal_1	PCOS	10	test	imputation
0.547038328	pred_bal_1	PCOS	10	test	imputation
0.56329849	pred_bal_1	PCOS	10	test	imputation
0.56213705	pred_bal_1	PCOS	10	test	imputation
0.555168409	pred_bal_1	PCOS	10	test	imputation
0.552845528	pred_bal_1	PCOS	10	test	imputation
0.549361208	pred_bal_1	PCOS	10	test	imputation
