loss	model	dataset	filtering	type	set
0.577235772	ALRw	PCOS	10	test	glmnet
0.56445993	ALRw	PCOS	10	test	glmnet
0.534262485	CLR	PCOS	10	test	glmnet
0.534262485	CLR	PCOS	10	test	glmnet
0.534262485	CLR	PCOS	10	test	glmnet
0.534262485	CLR	PCOS	10	test	glmnet
0.534262485	CLR	PCOS	10	test	glmnet
0.56097561	CLR	PCOS	10	test	glmnet
0.56097561	CLR	PCOS	10	test	glmnet
0.534262485	CLR	PCOS	10	test	glmnet
0.534262485	CLR	PCOS	10	test	glmnet
0.534262485	CLR	PCOS	10	test	glmnet
0.469221835	TSS	PCOS	10	test	glmnet
0.472706156	TSS	PCOS	10	test	glmnet
0.469221835	TSS	PCOS	10	test	glmnet
0.472706156	TSS	PCOS	10	test	glmnet
0.469221835	TSS	PCOS	10	test	glmnet
0.469221835	TSS	PCOS	10	test	glmnet
0.469221835	TSS	PCOS	10	test	glmnet
0.469221835	TSS	PCOS	10	test	glmnet
0.472706156	TSS	PCOS	10	test	glmnet
0.472706156	TSS	PCOS	10	test	glmnet
0.551684088	ALRo	PCOS	50	test	glmnet
0.551684088	ALRo	PCOS	50	test	glmnet
0.549361208	ALRo	PCOS	50	test	glmnet
0.550522648	ALRo	PCOS	50	test	glmnet
0.551684088	ALRo	PCOS	50	test	glmnet
0.551684088	ALRo	PCOS	50	test	glmnet
0.550522648	ALRo	PCOS	50	test	glmnet
0.550522648	ALRo	PCOS	50	test	glmnet
0.550522648	ALRo	PCOS	50	test	glmnet
0.551684088	ALRo	PCOS	50	test	glmnet
0.535423926	ALRr	PCOS	50	test	glmnet
0.538908246	ALRr	PCOS	50	test	glmnet
0.534262485	ALRr	PCOS	50	test	glmnet
0.535423926	ALRr	PCOS	50	test	glmnet
0.536585366	ALRr	PCOS	50	test	glmnet
0.534262485	ALRr	PCOS	50	test	glmnet
0.536585366	ALRr	PCOS	50	test	glmnet
0.536585366	ALRr	PCOS	50	test	glmnet
0.534262485	ALRr	PCOS	50	test	glmnet
0.536585366	ALRr	PCOS	50	test	glmnet
0.552845528	ALRw	PCOS	50	test	glmnet
0.552845528	ALRw	PCOS	50	test	glmnet
0.549361208	ALRw	PCOS	50	test	glmnet
0.551684088	ALRw	PCOS	50	test	glmnet
0.552845528	ALRw	PCOS	50	test	glmnet
0.549361208	ALRw	PCOS	50	test	glmnet
0.551684088	ALRw	PCOS	50	test	glmnet
0.551684088	ALRw	PCOS	50	test	glmnet
0.552845528	ALRw	PCOS	50	test	glmnet
0.551684088	ALRw	PCOS	50	test	glmnet
0.537746806	CLR	PCOS	50	test	glmnet
0.537746806	CLR	PCOS	50	test	glmnet
0.537746806	CLR	PCOS	50	test	glmnet
0.537746806	CLR	PCOS	50	test	glmnet
0.537746806	CLR	PCOS	50	test	glmnet
0.537746806	CLR	PCOS	50	test	glmnet
0.537746806	CLR	PCOS	50	test	glmnet
0.537746806	CLR	PCOS	50	test	glmnet
0.537746806	CLR	PCOS	50	test	glmnet
0.537746806	CLR	PCOS	50	test	glmnet
0.519163763	TSS	PCOS	50	test	glmnet
0.519163763	TSS	PCOS	50	test	glmnet
0.519163763	TSS	PCOS	50	test	glmnet
0.519163763	TSS	PCOS	50	test	glmnet
0.519163763	TSS	PCOS	50	test	glmnet
0.519163763	TSS	PCOS	50	test	glmnet
0.519163763	TSS	PCOS	50	test	glmnet
0.519163763	TSS	PCOS	50	test	glmnet
0.519163763	TSS	PCOS	50	test	glmnet
0.519163763	TSS	PCOS	50	test	glmnet
0.790660225	model_bal_0	PCOS	10	training	codacore
0.790660225	model_bal_0	PCOS	10	training	codacore
0.790660225	model_bal_0	PCOS	10	training	codacore
0.790660225	model_bal_0	PCOS	10	training	codacore
0.790660225	model_bal_0	PCOS	10	training	codacore
0.790660225	model_bal_0	PCOS	10	training	codacore
0.788819876	model_bal_0	PCOS	10	training	codacore
0.788819876	model_bal_0	PCOS	10	training	codacore
0.790660225	model_bal_0	PCOS	10	training	codacore
0.790660225	model_bal_0	PCOS	10	training	codacore
0.772180048	model_bal_1	PCOS	10	training	codacore
0.760677862	model_bal_1	PCOS	10	training	codacore
0.782992102	model_bal_1	PCOS	10	training	codacore
0.782992102	model_bal_1	PCOS	10	training	codacore
0.772180048	model_bal_1	PCOS	10	training	codacore
0.760677862	model_bal_1	PCOS	10	training	codacore
0.788819876	model_bal_1	PCOS	10	training	codacore
0.782992102	model_bal_1	PCOS	10	training	codacore
0.772180048	model_bal_1	PCOS	10	training	codacore
0.772180048	model_bal_1	PCOS	10	training	codacore
0.73199908	model_bal_0	PCOS	50	training	codacore
0.73199908	model_bal_0	PCOS	50	training	codacore
0.73199908	model_bal_0	PCOS	50	training	codacore
0.73199908	model_bal_0	PCOS	50	training	codacore
0.73199908	model_bal_0	PCOS	50	training	codacore
0.728165018	model_bal_0	PCOS	50	training	codacore
0.73199908	model_bal_0	PCOS	50	training	codacore
0.73199908	model_bal_0	PCOS	50	training	codacore
0.73199908	model_bal_0	PCOS	50	training	codacore
0.73199908	model_bal_0	PCOS	50	training	codacore
0.630626486	model_bal_1	PCOS	50	training	codacore
0.700329729	model_bal_1	PCOS	50	training	codacore
0.700329729	model_bal_1	PCOS	50	training	codacore
0.716586151	model_bal_1	PCOS	50	training	codacore
0.703243616	model_bal_1	PCOS	50	training	codacore
0.73199908	model_bal_1	PCOS	50	training	codacore
0.70968484	model_bal_1	PCOS	50	training	codacore
0.716586151	model_bal_1	PCOS	50	training	codacore
0.700329729	model_bal_1	PCOS	50	training	codacore
